Date of Travel,Unique VRMs Captured in Charging Hours,Unique VRMs Compliant with ULEZ,Unique VRMs Non-Compliant with ULEZ,Total Valid ULEZ Charges,Total ULEZ PCs Raised,Total Exempt/100% Discount
Mon 08/04/2019,"108,305","76,918","31,387","19,082","3,649","8,656"
Tue 09/04/2019,"107,813","75,433","32,380","19,575","3,429","9,376"
Wed 10/04/2019,"125,069","89,627","35,442","20,005","3,745","11,692"
Thu 11/04/2019,"126,646","91,038","35,608","20,081","3,647","11,880"
Fri 12/04/2019,"130,453","94,435","36,018","21,307","3,907","10,804"
Sat 13/04/2019,"103,039","76,838","26,201","14,021","5,556","6,624"
Sun 14/04/2019,"97,831","75,223","22,608","11,203","5,940","5,465"
Mon 15/04/2019,"93,887","68,793","25,094","15,966","2,456","6,672"
Tue 16/04/2019,"91,775","69,030","22,745","14,104","2,171","6,470"
Wed 17/04/2019,"94,402","71,357","23,045","13,956","2,186","6,903"
Thu 18/04/2019,"98,581","75,053","23,528","14,925","2,295","6,308"
Fri 19/04/2019,"93,670","73,456","20,214","8,259","2,747","9,208"
Sat 20/04/2019,"88,233","72,289","15,944","8,312","3,269","4,363"
Sun 21/04/2019,"85,536","71,187","14,349","7,631","3,850","2,868"
Mon 22/04/2019,"87,719","69,650","18,069","6,489","2,953","8,627"
Tue 23/04/2019,"98,032","73,857","24,175","14,682","2,211","7,282"
Wed 24/04/2019,"102,779","75,992","26,787","15,557","2,350","8,880"
Thu 25/04/2019,"128,232","92,963","35,269","19,437","3,151","12,681"
Fri 26/04/2019,"131,826","95,973","35,853","20,038","3,501","12,314"
Sat 27/04/2019,"112,794","83,574","29,220","14,392","5,319","9,509"
Sun 28/04/2019,"90,278","69,923","20,355","9,901","4,992","5,462"
Mon 29/04/2019,"120,501","87,990","32,511","18,225","2,912","11,374"
Tue 30/04/2019,"123,999","90,123","33,876","18,900","2,850","12,126"
Wed 01/05/2019,"127,246","92,681","34,565","19,034","3,020","12,511"
Thu 02/05/2019,"129,367","94,268","35,099","19,289","3,059","12,751"
Fri 03/05/2019,"131,964","96,861","35,103","19,704","3,392","12,007"
Sat 04/05/2019,"110,720","82,622","28,098","13,489","5,080","9,529"
Sun 05/05/2019,"99,988","78,213","21,775","10,810","5,506","5,459"
Mon 06/05/2019,"90,549","70,453","20,096","8,644","3,823","7,629"
Tue 07/05/2019,"121,150","88,337","32,813","18,220","2,684","11,909"
Wed 08/05/2019,"126,266","92,028","34,238","18,744","2,710","12,784"
Thu 09/05/2019,"128,666","93,668","34,998","19,089","2,868","13,041"
Fri 10/05/2019,"130,115","95,714","34,401","18,969","2,897","12,535"
Sat 11/05/2019,"110,504","82,655","27,849","13,076","4,549","10,224"
Sun 12/05/2019,"103,154","79,599","23,555","10,475","5,036","8,044"
Mon 13/05/2019,"118,600","87,220","31,380","17,409","2,561","11,410"
Tue 14/05/2019,"122,950","90,164","32,786","18,057","2,470","12,259"
Wed 15/05/2019,"126,596","92,719","33,877","18,623","2,667","12,587"
Thu 16/05/2019,"129,059","94,606","34,453","18,795","2,699","12,959"
Fri 17/05/2019,"129,854","95,537","34,317","19,177","2,910","12,230"
Sat 18/05/2019,"107,262","80,875","26,387","12,731","4,306","9,350"
Sun 19/05/2019,"99,559","77,857","21,702","10,129","4,589","6,984"
Mon 20/05/2019,"118,847","87,568","31,279","17,317","2,425","11,537"
Tue 21/05/2019,"122,521","90,140","32,381","17,667","2,490","12,224"
Wed 22/05/2019,"125,996","92,653","33,343","18,104","2,579","12,660"
Thu 23/05/2019,"128,576","94,608","33,968","18,574","2,720","12,674"
Fri 24/05/2019,"130,477","96,461","34,016","19,010","3,018","11,988"
Sat 25/05/2019,"103,946","78,108","25,838","12,562","4,424","8,852"
Sun 26/05/2019,"94,436","74,202","20,234","9,828","4,893","5,513"
Mon 27/05/2019,"90,729","71,539","19,190","7,954","3,372","7,864"
Tue 28/05/2019,"106,953","77,589","29,364","17,017","2,411","9,936"
Wed 29/05/2019,"120,531","88,806","31,725","17,666","2,530","11,529"
Thu 30/05/2019,"124,069","91,219","32,850","18,080","2,805","11,965"
Fri 31/05/2019,"125,324","92,491","32,833","18,371","3,025","11,437"
Sat 01/06/2019,"100,157","76,144","24,013","12,173","4,405","7,435"
Sun 02/06/2019,"95,797","75,410","20,387","9,953","4,642","5,792"
Mon 03/06/2019,"112,584","83,213","29,371","16,604","2,367","10,400"
Tue 04/06/2019,"117,479","86,466","31,013","17,077","2,406","11,530"
Wed 05/06/2019,"121,763","89,720","32,043","17,788","2,427","11,828"
Thu 06/06/2019,"128,154","94,516","33,638","18,338","2,589","12,711"
Fri 07/06/2019,"132,494","98,744","33,750","18,654","2,723","12,373"
Sat 08/06/2019,"112,031","84,715","27,316","12,809","4,416","10,091"
Sun 09/06/2019,"100,866","79,483","21,383","10,375","4,654","6,354"
Mon 10/06/2019,"119,727","88,785","30,942","17,058","2,431","11,453"
Tue 11/06/2019,"122,787","91,018","31,769","17,400","2,218","12,151"
Wed 12/06/2019,"126,512","93,772","32,740","17,721","2,406","12,613"
Thu 13/06/2019,"130,274","96,592","33,682","18,294","2,489","12,899"
Fri 14/06/2019,"133,257","99,536","33,721","18,576","2,955","12,190"
Sat 15/06/2019,"114,793","86,861","27,932","13,209","4,532","10,191"
Sun 16/06/2019,"108,894","85,340","23,554","10,829","4,728","7,997"
Mon 17/06/2019,"119,866","89,414","30,452","16,965","2,313","11,174"
Tue 18/06/2019,"123,157","91,150","32,007","17,631","2,225","12,151"
Wed 19/06/2019,"127,792","94,849","32,943","18,006","2,386","12,551"
Thu 20/06/2019,"130,657","96,881","33,776","18,244","2,563","12,969"
Fri 21/06/2019,"130,822","97,819","33,003","18,126","2,838","12,039"
Sat 22/06/2019,"111,151","84,181","26,970","12,747","4,440","9,783"
